Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.201106.release92.star.	0	0.0297056536549976	0.108633446455548	0.0282893753059748	0.137753367899962	0.1366673313967	0.0300204929115989	0	0	0.00225074849807642	0.00413693930261079	0.0342876992923949	0.30496031011412	0.000456857803684957	0	0	0.00226012699734893	0.0161937423954679	0.0171223415717759	0	0	0.147261566399739	0	0.733288423250125	0.717891450427639
EBOVAC.202118.release92.star.	0.000253128319656349	0.0748586123648851	0.0850790959543566	0.0534745994626216	0.0731009453313502	0.0918790286920163	0.0588917303054563	0	0	0.0163448451024951	0	0.0401379921566434	0.313014744701929	0.0258290220959518	0	0	0	0.0246727528146338	0.0418634266443245	0	0	0.10060007605368	0	0.767186268938427	0.70968181261899
EBOVAC.203130.release92.star.	0.00291947261014684	0.0408389209440567	0.0555622531724412	0.0474999918322433	0.138865748382869	0.108428343921363	0.0654149385086913	0	0	0.0186147961808605	0.0214294780370958	0.0271173305824342	0.27952955412245	0.00911909036414593	0	0	0	0.015988880167764	0.0579552182844272	0	0	0.110715982889011	0	0.832993338479902	0.664176918932793
EBOVAC.204142.release92.star.	0.0115950527232598	0.0369763168491027	0.14742790218162	0.0461057169755952	0.120084380017697	0.107715653498243	0.073713654325924	0	0	0.0269719971377283	0	0.0408286683579623	0.225204055700704	0.00877121740721955	0	0	0.00476744532667536	0.0162348256777688	0.0414476586273611	0	0.00976575926530697	0.0823896959278323	0	0.665445033473928	0.77756761055193
EBOVAC.205154.release92.star.	0	0.0219452564226902	0.0201178061437989	0.0698302356239416	0.140606947948796	0.0877278187024582	0.0904523305215081	0	0	0	0.0116879379724859	0.0173158562005521	0.35615817571907	0.00284792126991592	0	0	0.000193196273162142	0.018702491565019	0.0478731004974279	0	0	0.114540925139174	0	0.86685858610267	0.61920140078128
EBOVAC.206166.release92.star.	0	0.0538101296334558	0.0762387769522875	0.0925596700395926	0.155993033668793	0.0277370452056153	0.0644804178117577	0	0	0	0.0305553309466498	0.0181719540454979	0.253792881634837	0.000261073902045375	0	0	0	0.0442216563866525	0.0440440670388682	0	0	0.138133962733948	0	0.703610997037075	0.749259687767447
EBOVAC.207178.release92.star.	0	0.0408085853020579	0.0769344945083896	0.0598797661707131	0.147637429266192	0.108808845210438	0.0682214235571417	0	0	0.000316740156216687	0	0.0162424009140401	0.257650911421305	0.00190688634376932	0	0	0	0.0155630757802142	0.0395685126177576	0	0	0.166460928751765	0	0.739332723132938	0.717019980286418
EBOVAC.208190.release92.star.	0	0.0535632181897041	0.0463998787934091	0.12548372464331	0.0667263725468715	0.082927963322769	0.0850947703499464	0	0	0.0658027961683341	0	0.0257618628200384	0.246468930226794	0	0	0	0.00183330680570802	0.0187945167976401	0.0476195414032529	0	0	0.133523117932223	0	0.816875294080504	0.668477200815161
EBOVAC.209107.release92.star.	0	0.0522531726584844	0.0463097919963378	0.0535663666160769	0.161275571148031	0.117850722432105	0.0448233264677096	0	0	0.00015587510106627	0	0.052730857799495	0.284179541287061	0.0284889978650909	0	0	0	0.0112669285332764	0.0614657194333033	0	0	0.0856331286619619	0	0.848740606119297	0.654477891355565
EBOVAC.210119.release92.star.	0	0.098131560496341	0.0534595881727194	0.0472983368902449	0.0775608558553183	0.115563750612998	0.0590403890681156	0	0	0.0219264157823717	0	0.0459327917543055	0.253503764192587	0.0122182793740885	0	0	0	0.043004395194088	0.0467174080839608	0	0	0.125642464522861	0	0.791293940526976	0.696130658050779
EBOVAC.211131.release92.star.	0	0.0307626200940067	0.0881867784326859	0.0375933597415802	0.0985968783180189	0.0561704212899436	0.0672871679864882	0	0	0.0180720056592414	0	0.0392884610533277	0.410650798425149	0.00588146846048952	0	0	0	0.0258534422241318	0.0160099717842542	0	0	0.105646626530682	0	0.704679975745303	0.735138881283905
EBOVAC.212143.release92.star.	0	0.0276316399902561	0.0283835758183801	0.133106717966724	0.117524743320976	0.148118408288767	0.0619054468646416	0	0	0	0	0.0381378034440475	0.265212395627209	0.00383656278206691	0	0	0	0.0186989960551314	0.0414791420185981	0	0	0.115964567823203	0	0.849761367823653	0.635881582577466
EBOVAC.213155.release92.star.	0	0.0561366673758527	0.0353725382227677	0.00298049109586254	0.057625272704917	0.0433838222435253	0.052884470435381	0	0	0.0166742877091245	0.0240053354544936	0	0.326019773810019	0	0	0	0.00515599620646705	0.0347292974554763	0.0311616720560089	0	0	0.313870375230104	0	0.827571201307288	0.594852074006411
EBOVAC.214167.release92.star.	0	0.0678347054066117	0.0564861434058667	0.0629434921865384	0.13040837785483	0.0719151389194528	0.0500754220189814	0	0	0.00787632501140501	0	0.0345172770099266	0.242156272035393	0	0	0	0	0.0373540101638128	0.0401407907483115	0	0	0.198292045238871	0	0.700020965226776	0.740850699796273
EBOVAC.215179.release92.star.	0	0.0505950351401555	0.0449707332904671	0.0329503278397315	0.141195906781928	0.0808860958648689	0.0737512955180352	0	0	0.0304182876664667	0.0379315123396118	0.00417534383556384	0.239419704773758	0	0	0	0.0028205773143671	0.0361206034146884	0.037107296377861	0	0	0.187657279842497	0	0.810000035556912	0.666735929634097
EBOVAC.216191.release92.star.	0.0297516843881964	0.0500763460416087	0.0577156889468976	0.0402829053468422	0.129468941788121	0.0499037060993815	0.0628006396502991	0	0.0220740336353332	0.00849653194105327	0	0.0172947529694859	0.324472761852135	0.00420770867298512	0	0	0	0.0331832908098218	0.0459296310006866	0	0	0.124341376857152	0	0.827630354517527	0.660182568802388
EBOVAC.217108.release92.star.	0	0.0286197074082645	0.0908234563965913	0.0360700524326478	0.0755821465132378	0.154322542383527	0.0681465597405453	0	0	0.0403867225145976	0.0210788618457598	0.0243122745602976	0.29803950007046	0.00253572396647984	0	0	0.00426227494856039	0.0105762434213592	0.0252913437159839	0	0	0.119952590081688	0	0.734039230566442	0.724413269874903
EBOVAC.218120.release92.star.	0	0.0419865460702824	0.0325226471168585	0.0546544866992999	0.0634343452673295	0.163967573750176	0.0529802416353766	0	0	0.0223309749298653	0.00480443231752632	0.0249994695940065	0.305012333630071	0	0	0	0.00411273094159949	0.0164509397501674	0.0445223070207463	0	0	0.168220971276695	0	0.81951315851785	0.650914293312077
EBOVAC.219132.release92.star.	0	0.0379477995482987	0.0490423820657244	0.01977359587692	0.214805560931223	0.0829026809553823	0.0905328424133536	0	0	0.00833303673633613	0.0245143038984972	0.00884400511374613	0.272240137874498	0	0	0	0.00221723147241313	0.0174974805929032	0.0445628585984194	0	0	0.126786083922285	0	0.786522722028886	0.690724573361732
EBOVAC.220144.release92.star.	0	0.060905911852775	0.0558421376366887	0.0446051013332926	0.140848242906082	0.0482413985514641	0.0641968731775277	0	0.027912497672242	0.003785864738811	0	0.0258231515269565	0.338785496860664	0.00772355255194645	0	0	0	0.01181486814783	0.0433794400730063	0	0	0.126135462970714	0	0.84370514875438	0.642189478690229
EBOVAC.221156.release92.star.	0	0.0357685286854202	0.0353901078784327	0.0293804749138671	0.157215077250829	0.0797022698631645	0.0606410419950905	0	0	0.0473311073346783	0	0.0307840394181655	0.33913744206028	0.0105208002159303	0	0	0.00209058171277787	0.01767454806601	0.0399660110812311	0	0	0.114397969524123	0	0.847003789190168	0.637467078026291
EBOVAC.222168.release92.star.	0	0.056037048639685	0.0488795029549181	0.0628074618066056	0.125155053231853	0.0884763853253214	0.0359737915532711	0	0	0.0162094997018561	0	0.0229166895043243	0.333733251525067	0.0148301737187241	0	0	0	0.036415466926571	0.0246893208349752	0	0	0.133876354276829	0	0.852496644841656	0.631046257931252
