Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.201106.release92.star.	0	0.0211970312555068	0.100816730809549	0.0453398609678318	0.157292139932499	0.0138076760433545	0.055088268273112	0	0	0.0543526505217133	0	0.0319225484205807	0.291888178699149	0.00745843234810337	0	0	0	0.0797419343162498	0.0314081093371759	0	0	0.109686439075175	0.024	0.283154640506596	0.973951692346582
EBOVAC.202118.release92.star.	0	0.0644818598168251	0.0798506791020479	0.0553789147068745	0.0821123622301694	0.0713807303727875	0.0673190610424562	0	0	0.0142801157715797	0	0.0485551468142845	0.3277076474868	0.0197483538540507	0	0	0	0.0606460946914784	0.016406669483911	0	0	0.0921323646267346	0.022	0.316681606826183	0.958529771014647
EBOVAC.203130.release92.star.	0	0.046524061269731	0.0547956090721735	0.062080659274607	0.129767262004108	0.0810641418284744	0.0970829456829005	0	0	0.00866630450470218	0	0.0489507328505333	0.300098694502337	0.0250066275550217	0	0	0	0.0379342419619224	0.0243972544854637	0	0	0.0836314650080252	0.038	0.237028227149633	0.99499849556881
EBOVAC.204142.release92.star.	0	0.0405094511134557	0.127110209131412	0.048448824608308	0.114429508934749	0.128420720398635	0.0558066659433501	0	0	0.00472311465767925	0	0.0778637748724729	0.219258891489265	0.00199523734950345	0	0	0.015122343419796	0.0174283418487548	0.0755327686154263	0	0	0.0733501476171932	0.022	0.322416151781582	0.952292632551995
EBOVAC.205154.release92.star.	0	0.0466630722264996	0.0265594198891241	0.0776146124274221	0.130893217925277	0.0853038641336295	0.0748246989037953	0	0	0	0	0.0424663527460272	0.333113715245178	0.0181399284274108	0	0	0	0.0511690807742583	0.0223683879368431	0	0	0.0908836493645351	0.022	0.322187680932982	0.957969924070175
EBOVAC.206166.release92.star.	0	0.0583476766749497	0.0811701969027673	0.0856658380458785	0.171922593250274	0.04721467923318	0.0906899886535882	0	0	0	0.0510400410434971	0	0.254251126718713	0.00754979043987735	0	0	0	0.0116717861499239	0.0329372847231103	0	0	0.107538998164241	0.023	0.304680348327627	0.963500120406879
EBOVAC.207178.release92.star.	0	0.0460725691710641	0.074272529637254	0.0756998429976692	0.146832779785056	0.109044169240199	0.0322010324257752	0	0	0	0	0.0327327375997836	0.289981331405559	0.0139168206813165	0	0	0	0.0541204115918471	0	0	0	0.125125775464476	0.031	0.258297091451586	0.991249271545907
EBOVAC.208190.release92.star.	0	0.0625768431875425	0.0390006215495741	0.100431326120725	0.0749426401925301	0.0613737875542546	0.159800586154013	0	0	0.0612537574278101	0	0.0230197058773655	0.193022113580156	0.00683547558641129	0	0	0	0.0405604667025992	0.0591919242974163	0	0	0.117990751769602	0.031	0.261390453377206	0.980650357389932
EBOVAC.209107.release92.star.	0	0.0419670785067235	0.0441465077333066	0.0415213765162862	0.15901984583513	0.106115602645118	0.0749751156400452	0	0	0	0	0.0584525215513508	0.267325163234734	0.0228432549125494	0	0	0	0.0466944164920626	0.0612016202138477	0	0	0.0757374967188457	0.024	0.290308900428859	0.96801987754987
EBOVAC.210119.release92.star.	0	0.093735261499022	0.0554943999479843	0.0539757194887851	0.0997145436924007	0.0779545887946028	0.083747612867096	0	0.00211117335266312	0.0138811701592186	0	0.0609770941047043	0.243840386670925	0.0186681522070831	0	0	0	0.0539164714762603	0.0299282341979481	0	0	0.112055191541307	0.036	0.243513206139615	0.990318031581614
EBOVAC.211131.release92.star.	0	0.0421340789911416	0.0632149887981538	0.0390234952023618	0.0877054533593938	0.101702821094498	0.0540865793778098	0	0	0.00283494778633446	0	0.0337010672615488	0.40327499575158	0.00577710931391485	0	0	0.00213400648216885	0.00612976571402417	0.0427916081239914	0	0	0.115489082743078	0.024	0.288387499797116	0.981569083248121
EBOVAC.212143.release92.star.	0	0.0486159421204594	0.0475980876559015	0.137757939587554	0.134665509933638	0.0919291721699518	0.0317324110980145	0	0	0	0	0.0486727105624282	0.277228059443629	0.00396720894925725	0	0	0	0.0608499931871499	0.0363254945985016	0	0	0.0806574706935161	0.023	0.307248910786894	0.963794047173204
EBOVAC.213155.release92.star.	0	0.0582529672231944	0.0425493722460958	0.00467454416345085	0.0522669200450014	0.0231576235004628	0.0256020874852232	0	0	0.0144659560120981	0.0192768845321678	0.00717429596486784	0.397581475597132	0	0	0	0	0.0430148870952741	0.00908670504950733	0	0	0.302896281085524	0.00800000000000001	0.433013668002109	0.92999833202192
